經度緯度,經度,緯度,經度緯度
25.5033626556396119.113639831543,25.5033626556396,119.113639831543,25.5033626556396119.113639831543
25.4434432983398119.204383850098,25.4434432983398,119.204383850098,25.4434432983398119.204383850098
22.6978120.6306,22.6978,120.6306,22.6978120.6306
22.731466293335120.654563903809,22.731466293335,120.654563903809,22.731466293335120.654563903809
22.8743120.6134,22.8743,120.6134,22.8743120.6134
25.5022563934326119.163795471191,25.5022563934326,119.163795471191,25.5022563934326119.163795471191
22.6307120.6711,22.6307,120.6711,22.6307120.6711
25.4709701538086119.150733947754,25.4709701538086,119.150733947754,25.4709701538086119.150733947754
24.9248120.216,24.9248,120.216,24.9248120.216
25.5741958618164119.063514709473,25.5741958618164,119.063514709473,25.5741958618164119.063514709473
22.9126120.6038,22.9126,120.6038,22.9126120.6038
25.4973087310791119.153800964355,25.4973087310791,119.153800964355,25.4973087310791119.153800964355
22.8116120.6266,22.8116,120.6266,22.8116120.6266
22.8275120.6399,22.8275,120.6399,22.8275120.6399
22.8746120.6264,22.8746,120.6264,22.8746120.6264
22.9133120.6247,22.9133,120.6247,22.9133120.6247
22.8908120.59,22.8908,120.59,22.8908120.59
22.8964120.5981,22.8964,120.5981,22.8964120.5981
22.6903120.6221,22.6903,120.6221,22.6903120.6221
22.6169120.7734,22.6169,120.7734,22.6169120.7734
23.1984120.8276,23.1984,120.8276,23.1984120.8276
25.4632358551025119.181144714355,25.4632358551025,119.181144714355,25.4632358551025119.181144714355
25.5558700561523119.155342102051,25.5558700561523,119.155342102051,25.5558700561523119.155342102051
22.5666120.657,22.5666,120.657,22.5666120.657
25.4948616027832119.190269470215,25.4948616027832,119.190269470215,25.4948616027832119.190269470215
22.8782120.578,22.8782,120.578,22.8782120.578
25.4829406738281119.171447753906,25.4829406738281,119.171447753906,25.4829406738281119.171447753906
25.3666439056396119.302200317383,25.3666439056396,119.302200317383,25.3666439056396119.302200317383
22.6647120.6246,22.6647,120.6246,22.6647120.6246
22.5934120.6691,22.5934,120.6691,22.5934120.6691
22.4075120.6312,22.4075,120.6312,22.4075120.6312
22.6192120.6592,22.6192,120.6592,22.6192120.6592
22.6032120.6599,22.6032,120.6599,22.6032120.6599
25.4824619293213119.177719116211,25.4824619293213,119.177719116211,25.4824619293213119.177719116211
22.5902120.6413,22.5902,120.6413,22.5902120.6413
22.7224120.6256,22.7224,120.6256,22.7224120.6256
22.6216120.6575,22.6216,120.6575,22.6216120.6575
22.9525120.6442,22.9525,120.6442,22.9525120.6442
22.9009120.6178,22.9009,120.6178,22.9009120.6178
25.4968566894531119.179039001465,25.4968566894531,119.179039001465,25.4968566894531119.179039001465
22.5956120.6676,22.5956,120.6676,22.5956120.6676
22.5903120.6397,22.5903,120.6397,22.5903120.6397
22.6033120.6488,22.6033,120.6488,22.6033120.6488
25.4901332855225119.181381225586,25.4901332855225,119.181381225586,25.4901332855225119.181381225586
22.5516120.6597,22.5516,120.6597,22.5516120.6597
22.5625120.6647,22.5625,120.6647,22.5625120.6647
22.5871120.6652,22.5871,120.6652,22.5871120.6652
22.6058120.6652,22.6058,120.6652,22.6058120.6652
22.9111120.5836,22.9111,120.5836,22.9111120.5836
22.9223120.5877,22.9223,120.5877,22.9223120.5877
22.8763120.5731,22.8763,120.5731,22.8763120.5731
22.8501120.5715,22.8501,120.5715,22.8501120.5715
25.4965744018555119.207656860352,25.4965744018555,119.207656860352,25.4965744018555119.207656860352
25.4941635131836119.223449707031,25.4941635131836,119.223449707031,25.4941635131836119.223449707031
22.8472120.6008,22.8472,120.6008,22.8472120.6008
22.6026120.6362,22.6026,120.6362,22.6026120.6362
22.9596120.593,22.9596,120.593,22.9596120.593
22.5881120.6526,22.5881,120.6526,22.5881120.6526
22.639120.6372,22.639,120.6372,22.639120.6372
22.5826120.6563,22.5826,120.6563,22.5826120.6563
22.6764120.6192,22.6764,120.6192,22.6764120.6192
22.8388120.5869,22.8388,120.5869,22.8388120.5869
22.8101120.6096,22.8101,120.6096,22.8101120.6096
22.9051120.5937,22.9051,120.5937,22.9051120.5937
25.5445880889893119.180191040039,25.5445880889893,119.180191040039,25.5445880889893119.180191040039
22.8119120.6361,22.8119,120.6361,22.8119120.6361
25.4691181182861119.157897949219,25.4691181182861,119.157897949219,25.4691181182861119.157897949219
25.1704044342041118.221885681152,25.1704044342041,118.221885681152,25.1704044342041118.221885681152
22.6766120.628,22.6766,120.628,22.6766120.628
22.9147853851318120.626861572266,22.9147853851318,120.626861572266,22.9147853851318120.626861572266
22.8555120.6237,22.8555,120.6237,22.8555120.6237
25.3567676544189119.438682556152,25.3567676544189,119.438682556152,25.3567676544189119.438682556152
25.4982166290283119.170829772949,25.4982166290283,119.170829772949,25.4982166290283119.170829772949
22.6762120.7673,22.6762,120.7673,22.6762120.7673
22.9416120.6169,22.9416,120.6169,22.9416120.6169
22.7843894958496120.661094665527,22.7843894958496,120.661094665527,22.7843894958496120.661094665527
22.6513120.6397,22.6513,120.6397,22.6513120.6397
22.6221120.6537,22.6221,120.6537,22.6221120.6537
22.6803120.6418,22.6803,120.6418,22.6803120.6418
22.6455120.628,22.6455,120.628,22.6455120.628
25.4780464172363119.197631835938,25.4780464172363,119.197631835938,25.4780464172363119.197631835938
22.9070014953613120.621070861816,22.9070014953613,120.621070861816,22.9070014953613120.621070861816
22.6354120.6436,22.6354,120.6436,22.6354120.6436
25.1885852813721118.117729187012,25.1885852813721,118.117729187012,25.1885852813721118.117729187012
25.1333789825439118.250831604004,25.1333789825439,118.250831604004,25.1333789825439118.250831604004
24.7014120.2455,24.7014,120.2455,24.7014120.2455
22.7609786987305120.617408752441,22.7609786987305,120.617408752441,22.7609786987305120.617408752441
25.1310920715332118.269874572754,25.1310920715332,118.269874572754,25.1310920715332118.269874572754
22.7216120.5844,22.7216,120.5844,22.7216120.5844
22.7646120.5478,22.7646,120.5478,22.7646120.5478
22.9186120.6125,22.9186,120.6125,22.9186120.6125
22.5323120.6349,22.5323,120.6349,22.5323120.6349
22.5131120.633,22.5131,120.633,22.5131120.633
22.5208120.6312,22.5208,120.6312,22.5208120.6312
22.5349120.6246,22.5349,120.6246,22.5349120.6246
22.5267120.6202,22.5267,120.6202,22.5267120.6202
22.4918120.6318,22.4918,120.6318,22.4918120.6318
22.8689120.5531,22.8689,120.5531,22.8689120.5531
22.7329120.5441,22.7329,120.5441,22.7329120.5441
22.5092120.6225,22.5092,120.6225,22.5092120.6225
22.5027120.6322,22.5027,120.6322,22.5027120.6322
22.4701120.6499,22.4701,120.6499,22.4701120.6499
22.5757120.616,22.5757,120.616,22.5757120.616
22.8533120.5646,22.8533,120.5646,22.8533120.5646
22.7755120.5638,22.7755,120.5638,22.7755120.5638
22.3391120.6534,22.3391,120.6534,22.3391120.6534
22.5120.6163,22.5,120.6163,22.5120.6163
22.7957120.5419,22.7957,120.5419,22.7957120.5419
22.481120.6302,22.481,120.6302,22.481120.6302
22.5059013366699120.694686889648,22.5059013366699,120.694686889648,22.5059013366699120.694686889648
22.6640281677246120.615966796875,22.6640281677246,120.615966796875,22.6640281677246120.615966796875
22.5127120.6347,22.5127,120.6347,22.5127120.6347
22.5609120.6285,22.5609,120.6285,22.5609120.6285
22.5172120.6266,22.5172,120.6266,22.5172120.6266
22.5264120.6079,22.5264,120.6079,22.5264120.6079
22.6074120.6294,22.6074,120.6294,22.6074120.6294
22.5373120.6126,22.5373,120.6126,22.5373120.6126
22.5527120.6086,22.5527,120.6086,22.5527120.6086
22.8305120.547,22.8305,120.547,22.8305120.547
22.5789120.6159,22.5789,120.6159,22.5789120.6159
22.8266120.5711,22.8266,120.5711,22.8266120.5711
22.7817120.584,22.7817,120.584,22.7817120.584
22.7501120.5183,22.7501,120.5183,22.7501120.5183
22.3896120.6429,22.3896,120.6429,22.3896120.6429
22.4919120.618,22.4919,120.618,22.4919120.618
22.5499120.6037,22.5499,120.6037,22.5499120.6037
22.8282120.5612,22.8282,120.5612,22.8282120.5612
22.5141120.6225,22.5141,120.6225,22.5141120.6225
22.8398120.5559,22.8398,120.5559,22.8398120.5559
22.8706120.5148,22.8706,120.5148,22.8706120.5148
22.5412120.6047,22.5412,120.6047,22.5412120.6047
24.6882120.3271,24.6882,120.3271,24.6882120.3271
25.0889949798584118.332832336426,25.0889949798584,118.332832336426,25.0889949798584118.332832336426
22.6797120.4954,22.6797,120.4954,22.6797120.4954
22.6181120.616,22.6181,120.616,22.6181120.616
22.6146120.6086,22.6146,120.6086,22.6146120.6086
22.7766120.5582,22.7766,120.5582,22.7766120.5582
22.6194120.6235,22.6194,120.6235,22.6194120.6235
22.8985120.5596,22.8985,120.5596,22.8985120.5596
22.611120.6157,22.611,120.6157,22.611120.6157
22.9162120.5124,22.9162,120.5124,22.9162120.5124
24.3874118.8782,24.3874,118.8782,24.3874118.8782
22.6382120.5984,22.6382,120.5984,22.6382120.5984
22.8351120.4905,22.8351,120.4905,22.8351120.4905
22.7133120.5477,22.7133,120.5477,22.7133120.5477
22.5833120.5977,22.5833,120.5977,22.5833120.5977
22.8455120.5714,22.8455,120.5714,22.8455120.5714
22.5699558258057120.586647033691,22.5699558258057,120.586647033691,22.5699558258057120.586647033691
22.5474120.6124,22.5474,120.6124,22.5474120.6124
22.7583120.5254,22.7583,120.5254,22.7583120.5254
22.573120.6121,22.573,120.6121,22.573120.6121
22.6129120.5875,22.6129,120.5875,22.6129120.5875
25.1390209197998118.318878173828,25.1390209197998,118.318878173828,25.1390209197998118.318878173828
22.7338120.5779,22.7338,120.5779,22.7338120.5779
22.6025120.5967,22.6025,120.5967,22.6025120.5967
22.8655120.5597,22.8655,120.5597,22.8655120.5597
22.7869120.5306,22.7869,120.5306,22.7869120.5306
22.676685333252120.57364654541,22.676685333252,120.57364654541,22.676685333252120.57364654541
22.5794120.6172,22.5794,120.6172,22.5794120.6172
22.6347064971924120.568382263184,22.6347064971924,120.568382263184,22.6347064971924120.568382263184
22.7291120.5442,22.7291,120.5442,22.7291120.5442
22.9412120.5389,22.9412,120.5389,22.9412120.5389
22.3876120.6315,22.3876,120.6315,22.3876120.6315
22.4584120.6355,22.4584,120.6355,22.4584120.6355
22.4945120.6259,22.4945,120.6259,22.4945120.6259
22.6272735595703120.542167663574,22.6272735595703,120.542167663574,22.6272735595703120.542167663574
22.529120.6504,22.529,120.6504,22.529120.6504
22.5019120.6093,22.5019,120.6093,22.5019120.6093
22.5282120.6889,22.5282,120.6889,22.5282120.6889
22.8477120.489,22.8477,120.489,22.8477120.489
22.6374130249023120.574447631836,22.6374130249023,120.574447631836,22.6374130249023120.574447631836
22.4869120.6303,22.4869,120.6303,22.4869120.6303
22.8243120.5769,22.8243,120.5769,22.8243120.5769
22.8197120.5975,22.8197,120.5975,22.8197120.5975
22.5697120.6408,22.5697,120.6408,22.5697120.6408
22.7999120.5833,22.7999,120.5833,22.7999120.5833
22.8392120.5905,22.8392,120.5905,22.8392120.5905
22.4363120.6599,22.4363,120.6599,22.4363120.6599
22.4154120.6374,22.4154,120.6374,22.4154120.6374
22.6442165374756120.603668212891,22.6442165374756,120.603668212891,22.6442165374756120.603668212891
22.5239120.6212,22.5239,120.6212,22.5239120.6212
22.5178120.6132,22.5178,120.6132,22.5178120.6132
25.1213150024414118.325531005859,25.1213150024414,118.325531005859,25.1213150024414118.325531005859
22.8535120.5551,22.8535,120.5551,22.8535120.5551
22.6297302246094120.588958740234,22.6297302246094,120.588958740234,22.6297302246094120.588958740234
23.0866120.7406,23.0866,120.7406,23.0866120.7406
22.504120.6398,22.504,120.6398,22.504120.6398
22.523120.6153,22.523,120.6153,22.523120.6153
22.8593120.5539,22.8593,120.5539,22.8593120.5539
22.79120.5698,22.79,120.5698,22.79120.5698
22.8817120.5369,22.8817,120.5369,22.8817120.5369
22.6073188781738120.553497314453,22.6073188781738,120.553497314453,22.6073188781738120.553497314453
22.7368120.5031,22.7368,120.5031,22.7368120.5031
22.5469120.624,22.5469,120.624,22.5469120.624
22.5203120.6328,22.5203,120.6328,22.5203120.6328
22.5107120.6276,22.5107,120.6276,22.5107120.6276
22.5242120.6216,22.5242,120.6216,22.5242120.6216
22.5602120.7029,22.5602,120.7029,22.5602120.7029
23.1075120.7935,23.1075,120.7935,23.1075120.7935
22.5076120.6143,22.5076,120.6143,22.5076120.6143
22.4884120.6253,22.4884,120.6253,22.4884120.6253
22.4832120.6198,22.4832,120.6198,22.4832120.6198
22.499120.6213,22.499,120.6213,22.499120.6213
22.7292120.5307,22.7292,120.5307,22.7292120.5307
22.8001120.5237,22.8001,120.5237,22.8001120.5237
22.7882120.5436,22.7882,120.5436,22.7882120.5436
22.72120.5057,22.72,120.5057,22.72120.5057
22.5728120.6167,22.5728,120.6167,22.5728120.6167
22.7987120.5379,22.7987,120.5379,22.7987120.5379
22.4323120.6242,22.4323,120.6242,22.4323120.6242
22.4391120.6318,22.4391,120.6318,22.4391120.6318
25.049861907959118.318862915039,25.049861907959,118.318862915039,25.049861907959118.318862915039
22.4606120.6323,22.4606,120.6323,22.4606120.6323
22.5079120.6194,22.5079,120.6194,22.5079120.6194
22.7982120.577,22.7982,120.577,22.7982120.577
22.8419120.5242,22.8419,120.5242,22.8419120.5242
25.1142024993896118.32820892334,25.1142024993896,118.32820892334,25.1142024993896118.32820892334
25.0042343139648118.29061126709,25.0042343139648,118.29061126709,25.0042343139648118.29061126709
